group,n,weight,value
00Uncorrelated,50,11302,17945
00Uncorrelated,100,25747,36419
00Uncorrelated,200,48323,78062
00Uncorrelated,500,128411,202670
00Uncorrelated,1000,248066,383171
01WeaklyCorrelated,50,12061,13277
01WeaklyCorrelated,100,25467,27631
01WeaklyCorrelated,200,49571,54217
01WeaklyCorrelated,500,124534,135505
01WeaklyCorrelated,1000,249651,273031
02StronglyCorrelated,50,12024,15324
02StronglyCorrelated,100,25468,32068
02StronglyCorrelated,200,49588,63088
02StronglyCorrelated,500,124542,157842
02StronglyCorrelated,1000,249581,316081
03InverseStronglyCorrelated,50,14534,12834
03InverseStronglyCorrelated,100,30418,27018
03InverseStronglyCorrelated,200,59482,52782
03InverseStronglyCorrelated,500,149294,132494
03InverseStronglyCorrelated,1000,299163,264763
04AlmostStronglyCorrelated,50,12063,15466
04AlmostStronglyCorrelated,100,25465,32060
04AlmostStronglyCorrelated,200,49590,62994
04AlmostStronglyCorrelated,500,124539,157751
04AlmostStronglyCorrelated,1000,249640,315951
05SubsetSum,50,12067,12067
05SubsetSum,100,25470,25470
05SubsetSum,200,49592,49592
05SubsetSum,500,124544,124544
05SubsetSum,1000,249664,249664
06UncorrelatedWithSimilarWeights,50,2401258,18089
06UncorrelatedWithSimilarWeights,100,4902519,37387
06UncorrelatedWithSimilarWeights,200,9904985,73679
06UncorrelatedWithSimilarWeights,500,24712490,183901
06UncorrelatedWithSimilarWeights,1000,49524948,357373
07SpannerUncorrelated,50,7245,8901
07SpannerUncorrelated,100,13689,16983
07SpannerUncorrelated,200,27068,34594
07SpannerUncorrelated,500,68254,86588
07SpannerUncorrelated,1000,136271,168400
08SpannerWeaklyCorrelated,50,5365,15074
08SpannerWeaklyCorrelated,100,10229,28360
08SpannerWeaklyCorrelated,200,20776,56238
08SpannerWeaklyCorrelated,500,52367,141904
08SpannerWeaklyCorrelated,1000,103094,281414
09SpannerStronglyCorrelated,50,5352,25052
09SpannerStronglyCorrelated,100,10212,48212
09SpannerStronglyCorrelated,200,20772,96272
09SpannerStronglyCorrelated,500,52418,240818
09SpannerStronglyCorrelated,1000,103116,479416
10MultipleStronglyCorrelated,50,12051,19351
10MultipleStronglyCorrelated,100,25469,39969
10MultipleStronglyCorrelated,200,49575,78975
10MultipleStronglyCorrelated,500,124462,198262
10MultipleStronglyCorrelated,1000,249646,395046
11ProfitCeiling,50,12065,12042
11ProfitCeiling,100,25470,25437
11ProfitCeiling,200,49592,49527
11ProfitCeiling,500,124544,124440
11ProfitCeiling,1000,249664,249426
12Circle,50,12067,254257
12Circle,100,25470,536666
12Circle,200,49592,1044932
12Circle,500,124544,2624204
12Circle,1000,249664,5260546
